vitesse;temps;consommation;cumul;chargeRestante;autonomie
0.0;0;0.0;0.0;15000.0 Wh;infinie
10.0;1;55.00000000000001;55.00000000000001;14999.984722222222 Wh;2727.269949494949
20.0;9;990.0000000000001;1045.0000000000002;14999.709722222222 Wh;2727.219949494949
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
0.0;0;0.0;0.0;15000.0 Wh;infinie
16.0;8;16.0;16.0;14999.973555555556 Wh;12244.876371882085
16.0;14;246.40000000000003;262.40000000000003;14999.905111111111 Wh;13636.277373737372
16.0;0;0.0;262.40000000000003;14999.905111111111 Wh;12244.820498866211
72.0;14;302.40000000000003;564.8000000000001;14999.692777777778 Wh;12980.503365384615
72.0;0;0.0;564.8000000000001;14999.692777777778 Wh;13300.220197044335
0.0;0;0.0;0.0;15000.0 Wh;infinie
22.0;11;22.0;22.0;14999.953555555556 Wh;12595.380848176419
0.0;0;0.0;0.0;15000.0 Wh;infinie
8.0;4;8.8;8.8;14999.997555555556 Wh;54513.454545454544
8.0;0;0.0;8.8;14999.997555555556 Wh;27256.727272727272
8.0;0;0.0;8.8;14999.997555555556 Wh;18171.151515151516
24.0;2;17.6;26.400000000000002;14999.992666666667 Wh;40837.09090909091
24.0;0;0.0;26.400000000000002;14999.992666666667 Wh;54449.454545454544
24.0;0;0.0;26.400000000000002;14999.992666666667 Wh;81674.18181818182
24.0;0;0.0;26.400000000000002;14999.992666666667 Wh;163348.36363636365
24.0;30;0.0;26.400000000000002;14999.992666666667 Wh;Infinity
0.0;0;0.0;0.0;15000.0 Wh;NaN
0.0;0;0.0;0.0;15000.0 Wh;0.0
0.0;0;0.0;0.0;15000.0 Wh;0.0
0.0;0;0.0;0.0;15000.0 Wh;NaN
36.0;18;39.6;39.6;14999.989 Wh;68.00181818181818
36.0;0;0.0;39.6;14999.989 Wh;34.00090909090909
0.0;0;0.0;0.0;15000.0 Wh;NaN
0.0;0;0.0;0.0;15000.0 Wh;NaN
0.0;0;0.0;0.0;15000.0 Wh;NaN
0.0;0;0.0;0.0;15000.0 Wh;0.0
24.0;6;26.400000000000002;26.400000000000002;14881.2 Wh;3.2210389610389605
26.0;1;28.6;55.0;14850.4 Wh;3.4822366522366517
0.0;0;0.0;0.0;15000.0 Wh;NaN
0.0;0;0.0;0.0;15000.0 Wh;0.0
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;55.0;55.0;14945.0 Wh;37.73989898989899
0.0;0;0.0;0.0;15000.0 Wh;NaN
45.0;9;49.5;49.5;14950.5 Wh;33.978409090909096
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;50.0;50.0;14950.0 Wh;41.52777777777778
50.0;9;0.0;50.0;14950.0 Wh;Infinity
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;50.0;50.0;14950.0 Wh;41.52777777777778
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;50.0;50.0;14950.0 Wh;41.52777777777778
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;50.0;50.0;14950.0 Wh;41.52777777777778
0.0;0;0.0;0.0;15000.0 Wh;NaN
25.0;5;25.0;25.0;14975.0 Wh;20.79861111111111
0.0;0;0.0;0.0;15000.0 Wh;NaN
50.0;10;50.0;50.0;14950.0 Wh;41.52777777777778